,p-values-independent,p-values_i_fdr,significance:p_vlaue_i,significance:p_vlaue_i_fdr
681,2.906284453162023e-05,6.532144669317452e-05,True,True
682,0.00018891930013863138,0.0003777292719785714,True,True
683,0.00958298225079866,0.01480998554146957,True,True
684,6.597085916125422e-21,1.1688682994981196e-19,True,True
685,0.0015090178272613097,0.002638757259433052,True,True
687,4.302607652119444e-05,9.414508827151792e-05,True,True
688,6.685136507635606e-14,4.610208908958287e-13,True,True
691,9.613348159814325e-09,3.462689521701261e-08,True,True
692,5.043985270815994e-28,2.774995081316761e-26,True,True
693,5.172887133404152e-12,2.7873245548832416e-11,True,True
694,5.656076244812528e-13,3.456268734670549e-12,True,True
695,6.36939730326249e-10,2.676510299534408e-09,True,True
696,0.026919830048064895,0.0386727704016899,True,True
697,1.896911761862366e-16,1.8337521368870944e-15,True,True
698,1.4704277895687441e-05,3.444757264008686e-05,True,True
699,0.00015003320014051502,0.00030424034891740777,True,True
701,5.897787562177826e-06,1.4642753684481453e-05,True,True
702,8.703895110532783e-10,3.5979848775892274e-09,True,True
704,2.5354962050793737e-10,1.1150890260373265e-09,True,True
705,3.5941766280003623e-06,9.194343439761033e-06,True,True
706,1.4049391870870272e-13,9.313248064822868e-13,True,True
707,0.004631918226619436,0.007502708613675646,True,True
708,3.1018582576700783e-09,1.1883921357562788e-08,True,True
709,1.0022666108921872e-07,3.1583647762062266e-07,True,True
710,1.6104323063276448e-07,4.926548271969199e-07,True,True
711,0.00020900655950717567,0.0004149624543715044,True,True
712,1.5003787759206325e-05,3.508737424398122e-05,True,True
713,2.744281098313053e-06,7.132158262879193e-06,True,True
714,0.0019513137615576697,0.0033571302889063583,True,True
715,0.009501663116555812,0.014694828141316174,True,True
719,5.964881384886254e-12,3.1912612901152943e-11,True,True
720,0.012770248506102488,0.019312443573747742,True,True
721,7.230473574255193e-17,7.4615550176379e-16,True,True
722,6.15516666994894e-08,1.9919539944430115e-07,True,True
723,4.5193182194609134e-10,1.933892054525323e-09,True,True
724,0.0016647393680345364,0.0028920326410696515,True,True
